"code_rongeur","syphacia_stroma","heligmosomoides_polygyrus","hymenolepis_hiberna","syphacia_frederici","trichuris","hydatigera_parva","aspiculuris_tetraptera","skrjabinotaenia_lobata","numero_ligne","demogroup","sexe","gestation","SMI","poids","longueur_tete_corps","richesse_spe_AP","habitat1","habitat2","richesse","shannon","simpson"
"NCHA100196",0,35,1,54,0,0,0,0,7,"adult","M","non",20.26834826789,31.9,106,4,"haie","C_LB",3,0.723783885145817,0.488641975308642
"NCHA100199",0,14,0,0,0,0,0,0,2,"adult","F","oui",19.7338798612729,20.4,91,0,"haie","C_HB",1,0,0
"NCHA100200",0,0,0,3,0,0,0,0,7,"adult","M","non",20.5684372077378,20,89,1,"haie","C_LB",1,0,0
"NCHA100201",18,9,0,0,0,0,0,0,44,"adult","F","oui",20.7076579173396,24.1,95,2,"feuillus","B",2,0.636514168294813,0.444444444444444
"NCHA100203",0,4,0,0,1,0,0,0,38,"adult","F","oui",20.7935818091128,24.2,95,1,"feuillus","B",2,0.500402423538188,0.32
"NCHA100204",0,3,0,0,0,0,0,0,7,"adult","M","non",17.9718904789278,15.9,86,0,"haie","C_LB",1,0,0
"NCHA100205",0,6,0,0,0,0,0,0,7,"adult","F","oui",19.5906473242881,22.8,95,3,"haie","C_LB",1,0,0
"NCHA100206",43,0,0,0,0,0,0,0,9,"adult","M","non",13.9196704672573,16.2,95,0,"haie","NC_LB",1,0,0
"NCHA100207",0,34,0,0,0,0,0,0,12,"adult","F","non",18.8847270971197,17.8,88,2,"haie","C_LB",1,0,0
"NCHA100210",534,16,0,0,0,0,0,0,12,"adult","F","non",21.4528180623384,27.2,98,2,"haie","C_LB",2,0.131567737207279,0.056489256198347
"NCHA100211",1,3,0,0,0,0,0,0,13,"subadult","M","non",19.5982667350927,17.9,87,2,"haie","NC_HB",2,0.562335144618808,0.375
"NCHA100212",0,8,0,0,0,0,0,0,13,"subadult","F","non",18.3493535752183,18.4,90,3,"haie","NC_HB",1,0,0
"NCHA100213",0,3,0,3,0,0,0,0,13,"adult","M","non",19.0422244141048,20.9,93,3,"haie","NC_HB",2,0.693147180559945,0.5
"NCHA100214",0,3,0,0,0,0,0,0,13,"subadult","F","non",19.1021980562188,16.9,86,3,"haie","NC_HB",1,0,0
"NCHA100215",0,0,0,0,0,0,0,0,16,"subadult","M","non",19.3343309752735,18.8,89,0,"haie","NC_LB",0,NA,NA
"NCHA100216",0,1,0,0,0,0,0,0,16,"adult","F","non",22.0824401857107,25.7,95,1,"haie","NC_LB",1,0,0
"NCHA100217",0,1,0,0,0,0,0,0,15,"subadult","F","non",20.554709220107,14.9,80,0,"pins","CT_LB",1,0,0
"NCHA100218",2,1,0,0,0,0,0,0,42,"adult","F","non",19.5460505475152,19.6,90,0,"feuillus","B",2,0.636514168294813,0.444444444444444
"NCHA100219",0,7,0,12,0,0,0,0,36,"adult","M","non",19.9518604906317,23.9,96,3,"haie","C_LB",2,0.658109987543114,0.465373961218837
"NCHA100220",0,12,0,16,0,13,0,0,36,"adult","F","non",21.7088491480231,29.1,100,1,"haie","C_LB",3,1.09101984718498,0.661511005353956
"NCHA100221",0,0,0,0,0,0,0,0,36,"adult","F","non",18.8828305039469,28.2,104,2,"haie","C_LB",0,NA,NA
"NCHA100223",74,5,0,0,0,0,0,0,6,"subadult","M","non",17.604675946357,19.9,94,2,"haie","C_HB",2,0.235928783362223,0.11857074186829
"NCHA100224",0,13,0,0,0,0,0,0,10,"adult","F","non",17.8577798333232,19.6,93,1,"pins","CT_LB",1,0,0
"NCHA100225",0,41,0,4,0,0,0,0,6,"adult","F","non",21.28163514451,22,91,1,"haie","C_HB",2,0.299959552451294,0.161975308641975
"NCHA100226",15,75,0,3,0,0,0,0,6,"adult","M","non",18.2979918767004,23.2,98,4,"haie","C_HB",3,0.578532843714968,0.32258064516129
"NCHA100227",32,13,0,0,0,0,0,0,10,"adult","M","non",16.9166022045089,24.6,103,1,"pins","CT_LB",2,0.601153811179404,0.410864197530864
"NCHA100228",2,4,0,0,0,0,0,0,10,"adult","F","non",18.7631057830315,16.6,86,2,"pins","CT_LB",2,0.636514168294813,0.444444444444444
"NCHA100230",0,32,0,272,0,0,0,0,36,"adult","F","non",16.4127880628381,21.4,99,1,"haie","C_LB",2,0.336495757583516,0.188365650969529
"NCHA100231",120,6,0,0,0,0,0,0,43,"adult","M","non",20.585240861288,26.1,98,1,"feuillus","B",2,0.191444081957717,0.090702947845805
"NCHA100233",0,0,0,0,0,0,0,0,11,"adult","F","non",23.0625955973316,17.3,81,1,"haie","C_LB",0,NA,NA
"NCHA100234",0,12,0,0,0,0,0,0,36,"adult","M","non",21.5808489453256,26.6,97,3,"haie","C_LB",1,0,0
"NCHA100235",34,1,0,0,0,0,0,0,12,"adult","M","non",19.0969150420311,18,88,1,"haie","C_LB",2,0.129740694719428,0.0555102040816327
"NCHA100238",0,0,0,4,0,0,0,0,6,"adult","F","non",19.007827768469,24.1,98,1,"haie","C_HB",1,0,0
"NCHA100240",0,1,0,0,0,0,0,0,16,"adult","M","non",19.8172417824122,18.1,87,2,"haie","NC_LB",1,0,0
"NCHA100241",0,0,0,318,0,0,0,0,6,"adult","F","non",21.256324901035,26.2,97,2,"haie","C_HB",1,0,0
"NCHA100242",0,4,0,0,0,0,0,0,15,"subadult","M","non",22.3111292878348,18.5,84,0,"pins","CT_LB",1,0,0
"NCHA100243",0,10,0,98,0,0,0,0,6,"subadult","M","non",17.6274913092175,16.1,87,0,"haie","C_HB",2,0.308495450831104,0.16803840877915
"NCHA100244",0,7,0,12,0,0,0,0,13,"subadult","M","non",21.5961877847845,16.2,81,5,"haie","NC_HB",2,0.658109987543114,0.465373961218837
"NCHA100245",0,7,0,189,0,0,0,0,11,"adult","M","non",20.506370206647,26,98,3,"haie","C_LB",2,0.154076103671029,0.068877551020408
"NCHA100247",0,8,0,0,0,0,0,0,11,"adult","M","non",16.1883857907939,21.7,100,2,"haie","C_LB",1,0,0
"NCHA100248",0,4,0,0,0,0,0,0,17,"adult","F","non",19.1610278654221,22.3,95,2,"haie","C_HB",1,0,0
"NCHA100249",75,2,0,0,0,0,0,0,16,"adult","M","non",21.3410960059604,21.4,90,4,"haie","NC_LB",2,0.120456033849227,0.0505987518974531
"NCHA100250",18,6,0,0,0,0,0,0,15,"subadult","M","non",17.1895412145785,15.7,87,2,"pins","CT_LB",2,0.562335144618808,0.375
"NCHA100251",2,1,0,0,0,0,0,0,16,"subadult","M","non",21.3619805871334,18.3,85,1,"haie","NC_LB",2,0.636514168294813,0.444444444444444
"NCHA100252",0,0,0,2,0,0,0,0,16,"adult","F","non",22.7191823035502,20.1,86,1,"haie","NC_LB",1,0,0
"NCHA100253",0,3,0,0,0,0,0,0,16,"adult","F","non",16.5759630785406,14.2,85,2,"haie","NC_LB",1,0,0
"NCHA100255",0,79,0,739,0,0,0,0,17,"adult","F","oui",23.1994507787622,27,95,1,"haie","C_HB",2,0.317496145984635,0.1744997937602
"NCHA100256",0,6,0,0,0,0,0,0,6,"adult","F","non",20.3627528356604,19.8,89,2,"haie","C_HB",1,0,0
"NCHA100257",0,22,0,70,0,0,0,0,17,"adult","M","non",18.4044465629147,20.2,93,1,"haie","C_HB",2,0.550075523599713,0.363894139886578
"NCHA100258",2,2,0,103,0,0,0,0,15,"adult","M","non",18.6697981040474,19.3,91,0,"pins","CT_LB",3,0.185448698855436,0.0726701021923312
"NCHA100259",0,5,0,4,0,0,0,0,6,"subadult","F","non",21.7437289733163,14.7,78,1,"haie","C_HB",2,0.686961576597323,0.493827160493827
"NCHA100260",0,0,0,28,0,0,0,0,6,"adult","F","non",20.3113913779301,17.4,85,0,"haie","C_HB",1,0,0
"NCHA100261",0,9,0,2,0,0,0,0,6,"adult","F","oui",16.9563813141844,20.9,97,2,"haie","C_HB",2,0.474139313057837,0.297520661157025
"NCHA100262",5,7,0,0,0,0,0,0,10,"adult","F","non",19.0258044171574,18.5,89,1,"pins","CT_LB",2,0.679193265991526,0.486111111111111
"NCHA100264",0,4,0,0,0,0,0,0,20,"adult","F","oui",23.4480184168211,22.8,89,2,"haie","C_HB",1,0,0
"NCHA100265",0,0,0,0,0,0,0,0,21,"adult","M","non",18.6539930354733,25.7,101,4,"haie","NC_LB",0,NA,NA
"NCHA100268",20,2,0,0,0,0,0,0,23,"adult","M","non",23.6537027888984,23,89,1,"pins","CT_HB",2,0.304636097349238,0.165289256198347
"NCHA100271",0,3,0,0,0,0,0,0,19,"adult","F","non",16.625364476474,12.9,82,1,"haie","NC_LB",1,0,0
"NCHA100275",0,1,0,0,0,0,0,0,19,"adult","F","non",24.6304803490991,21.1,85,1,"haie","NC_LB",1,0,0
"NCHA100280",526,5,0,0,0,0,0,0,51,"adult","M","non",22.2415246087479,28.2,98,4,"feuillus","B",2,0.0533013292227187,0.0186550622249175
"NCHA100284",0,12,0,0,0,0,0,0,51,"adult","M","non",22.2416286832853,29,99,2,"feuillus","B",1,0,0
"NCHA100285",51,1,0,0,0,0,0,0,51,"adult","M","non",18.9891672984897,16.8,86,0,"feuillus","B",2,0.0950301172556463,0.0377218934911243
"NCHA100290",0,0,0,0,0,0,0,1,24,"adult","F","oui",24.931186922851,25,90,1,"haie","C_HB",1,0,0
"NCHA100291",0,0,0,0,0,0,0,0,22,"subadult","M","non",17.5180037855577,16,87,1,"pins","CT_LB",0,NA,NA
"NCHA100292",66,2,0,0,0,0,0,0,21,"adult","F","non",21.3295681825032,16,81,1,"haie","NC_LB",2,0.132691420839872,0.0570934256055364
"NCHA100293",0,3,0,0,0,0,0,0,21,"subadult","M","non",19.7184555418645,15.3,82,2,"haie","NC_LB",1,0,0
"NCHA100294",0,0,0,0,0,0,0,0,53,"adult","F","non",19.8163186531858,22.4,94,2,"feuillus","B",0,NA,NA
"NCHA100296",0,0,0,0,0,0,0,0,53,"adult","F","oui",22.9970565862761,24.5,92,0,"feuillus","B",0,NA,NA
"NCHA100298",41,1,0,0,0,0,0,0,47,"adult","M","non",26.0946193101419,27.8,92,3,"feuillus","B",2,0.112515934119639,0.0464852607709751
"NCHA100299",60,1,0,0,0,0,0,0,52,"adult","M","non",20.7012269132961,21.4,91,0,"feuillus","B",2,0.0836497046105893,0.0322493953238376
"NCHA100304",0,1,0,0,0,0,0,0,20,"subadult","M","non",19.7785146119184,16.4,84,3,"haie","C_HB",1,0,0
"NCHA100308",133,3,0,0,0,0,0,0,52,"adult","F","non",19.8163186531858,22.4,94,0,"feuillus","B",2,0.105947011327982,0.0431444636678202
"NCHA100309",5,3,0,0,0,0,0,0,52,"adult","M","non",22.7281231145502,22.1,89,2,"feuillus","B",2,0.661563238157982,0.46875
"NCHA100311",12,2,0,0,0,0,0,0,50,"adult","F","non",20.2551918770511,18.5,87,3,"feuillus","B",2,0.410116318288409,0.244897959183674
"NCHA100312",0,3,0,0,0,0,0,0,50,"adult","M","non",20.9798059518925,20.4,89,1,"feuillus","B",1,0,0
"NCHA100313",0,4,0,0,0,0,0,0,52,"adult","F","non",22.0824401857107,25.7,95,1,"feuillus","B",1,0,0
"NCHA100314",0,0,0,0,0,0,0,0,29,"adult","M","non",20.1194748757808,17.8,86,1,"haie","NC_HB",0,NA,NA
"NCHA100316",0,2,0,0,0,0,0,0,35,"adult","F","non",20.7640976095152,12.6,75,0,"pins","CT_LB",1,0,0
"NCHA100317",0,1,0,11,0,0,0,0,24,"subadult","F","non",19.9941549612957,14,79,3,"haie","C_HB",2,0.286835983056161,0.152777777777778
"NCHA100318",0,13,0,0,0,0,0,0,26,"adult","M","non",19.5404104508683,20.2,91,1,"pins","CT_HB",1,0,0
"NCHA100319",0,4,0,0,0,0,0,0,35,"adult","F","non",25.7492342746566,16.8,77,1,"pins","CT_LB",1,0,0
"NCHA100320",0,3,0,0,0,0,0,0,27,"adult","F","non",25.0542886474004,25.9,91,1,"haie","NC_HB",1,0,0
"NCHA100321",0,68,0,1,0,0,0,0,29,"adult","F","oui",21.6214722471699,25.9,96,2,"haie","NC_HB",2,0.0757510850034151,0.0285654274312119
"NCHA100322",638,2,0,0,0,0,0,0,31,"adult","F","non",21.9394444921088,22,90,0,"haie","NC_LB",2,0.0211461152051303,0.00623046875000011
"NCHA100323",0,44,0,446,0,0,0,2,29,"adult","F","oui",26.1208630990508,30.4,95,4,"haie","NC_HB",3,0.327273653779967,0.170235970652389
"NCHA100324",0,3,0,0,0,0,0,0,30,"adult","F","non",26.430441811943,25.7,89,2,"haie","C_HB",1,0,0
"NCHA100325",0,4,0,1,0,0,0,0,30,"subadult","M","non",22.8371184935943,14.9,77,2,"haie","C_HB",2,0.500402423538188,0.32
"NCHA100327",0,0,0,0,0,0,0,0,32,"subadult","F","non",23.1978669017935,14.6,76,1,"pins","CT_LB",0,NA,NA
"NCHA100328",0,2,0,11,0,0,0,0,28,"adult","F","non",22.07077223542,14.4,77,0,"haie","C_LB",2,0.429323021930616,0.260355029585799
"NCHA100329",484,3,0,0,0,0,0,0,31,"adult","F","non",20.5543327142085,26.8,99,2,"haie","NC_LB",2,0.0374942427605075,0.0122444332944021
"NCHA100330",3,0,0,0,0,0,0,0,27,"adult","M","non",24.8878090213627,24.2,89,0,"haie","NC_HB",1,0,0
"NCHA100331",6,0,0,0,0,0,0,0,27,"adult","M","non",20.9663728607368,23.7,94,2,"haie","NC_HB",1,0,0
